sample_id	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	target_value
Sample1	0.56	1.23	0.89	-0.45	2.10	-1.34	0.78	1.56	-0.98	2.34	15.6
Sample2	0.78	0.98	1.23	-0.78	1.89	-1.56	0.98	1.78	-1.23	2.10	14.2
Sample3	0.34	1.56	0.56	-0.23	2.34	-1.12	0.56	1.34	-0.78	2.56	16.8
Sample4	1.23	-0.45	0.98	1.56	-0.78	2.10	-0.34	0.56	1.89	-0.98	8.9
Sample5	1.45	-0.78	1.23	1.78	-0.98	2.34	-0.56	0.78	2.10	-1.23	7.6
Sample6	1.12	-0.23	0.78	1.34	-0.56	1.98	-0.12	0.34	1.67	-0.78	10.2
Sample7	-0.56	0.78	-0.34	0.98	1.23	-0.78	1.56	-0.56	0.89	1.34	12.3
Sample8	-0.78	0.98	-0.56	1.23	1.45	-0.98	1.78	-0.78	1.12	1.56	11.5
Sample9	-0.34	0.56	-0.12	0.78	1.12	-0.56	1.34	-0.34	0.78	1.12	13.1
Sample10	0.67	1.12	0.98	-0.56	2.01	-1.45	0.89	1.67	-1.09	2.45	15.2
Sample11	1.34	-0.56	1.12	1.67	-0.89	2.23	-0.45	0.67	2.01	-1.12	8.3
Sample12	-0.67	0.89	-0.45	1.12	1.34	-0.89	1.67	-0.67	1.01	1.45	11.9
Sample13	0.58	1.34	0.87	-0.42	2.15	-1.31	0.76	1.59	-0.95	2.38	15.8
Sample14	1.29	-0.48	1.01	1.59	-0.75	2.13	-0.37	0.59	1.92	-1.01	9.2
Sample15	-0.59	0.75	-0.37	0.95	1.27	-0.75	1.53	-0.53	0.87	1.31	12.6
Sample16	0.62	1.21	0.92	-0.48	2.08	-1.38	0.82	1.62	-1.02	2.41	15.4
Sample17	1.41	-0.72	1.18	1.72	-0.92	2.28	-0.52	0.72	2.05	-1.18	7.9
Sample18	-0.72	0.92	-0.52	1.18	1.41	-0.92	1.72	-0.72	1.05	1.52	11.7
Sample19	0.41	1.48	0.61	-0.28	2.28	-1.18	0.61	1.41	-0.82	2.52	17.2
Sample20	1.08	-0.18	0.72	1.28	-0.52	1.98	-0.08	0.28	1.67	-0.78	10.9
Sample21	-0.28	0.52	-0.08	0.72	1.08	-0.52	1.28	-0.28	0.72	1.08	13.5
Sample22	0.68	1.29	0.95	-0.52	2.12	-1.42	0.85	1.65	-1.05	2.45	15.7
Sample23	1.38	-0.52	1.08	1.65	-0.85	2.18	-0.42	0.65	1.95	-1.08	8.6
Sample24	-0.65	0.85	-0.42	1.08	1.38	-0.85	1.65	-0.65	1.02	1.42	12.0
Sample25	0.52	1.42	0.72	-0.35	2.25	-1.25	0.65	1.48	-0.85	2.58	16.5
Sample26	1.15	-0.32	0.85	1.42	-0.65	2.05	-0.25	0.42	1.75	-0.82	9.8
Sample27	-0.42	0.65	-0.22	0.85	1.15	-0.65	1.42	-0.42	0.82	1.22	13.8
Sample28	0.72	1.05	1.12	-0.65	1.98	-1.52	0.92	1.72	-1.15	2.22	14.5
Sample29	1.52	-0.85	1.32	1.85	-1.05	2.42	-0.65	0.85	2.25	-1.32	7.1
Sample30	-0.82	1.05	-0.65	1.32	1.52	-1.05	1.85	-0.85	1.22	1.65	11.0
